[2020-08-08T09:42:04.677] [INFO] default - item A010503 monthdata done
[2020-08-08T09:42:06.257] [INFO] default - item A010601 data_index done
[2020-08-08T09:42:42.342] [INFO] default - item A010601 monthdata done
[2020-08-08T09:42:43.741] [INFO] default - item A010602 data_index done
[2020-08-08T09:43:20.483] [INFO] default - item A010602 monthdata done
[2020-08-08T09:43:22.089] [INFO] default - item A010603 data_index done
[2020-08-08T09:44:02.799] [INFO] default - item A010603 monthdata done
[2020-08-08T09:44:03.805] [INFO] default - item A010701 data_index done
[2020-08-08T09:44:27.782] [INFO] default - item A010701 monthdata done
[2020-08-08T09:44:28.788] [INFO] default - item A010702 data_index done
[2020-08-08T09:44:51.135] [INFO] default - item A010702 monthdata done
[2020-08-08T09:44:52.154] [INFO] default - item A010703 data_index done
[2020-08-08T09:45:13.705] [INFO] default - item A010703 monthdata done
[2020-08-08T09:45:14.053] [INFO] default - item A010801 data_index done
[2020-08-08T09:45:20.646] [INFO] default - item A010801 monthdata done
[2020-08-08T09:45:21.097] [INFO] default - item A010802 data_index done
[2020-08-08T09:45:30.346] [INFO] default - item A010802 monthdata done
[2020-08-08T09:45:30.944] [INFO] default - item A010803 data_index done
[2020-08-08T09:45:42.579] [INFO] default - item A010803 monthdata done
[2020-08-08T09:45:42.936] [INFO] default - item A010804 data_index done
[2020-08-08T09:45:49.741] [INFO] default - item A010804 monthdata done
[2020-08-08T09:45:50.202] [INFO] default - item A010805 data_index done
[2020-08-08T09:45:59.338] [INFO] default - item A010805 monthdata done
[2020-08-08T09:45:59.902] [INFO] default - item A010806 data_index done
[2020-08-08T09:46:11.154] [INFO] default - item A010806 monthdata done
[2020-08-08T09:46:11.546] [INFO] default - item A010807 data_index done
[2020-08-08T09:46:18.596] [INFO] default - item A010807 monthdata done
[2020-08-08T09:46:19.027] [INFO] default - item A010808 data_index done
[2020-08-08T09:46:27.804] [INFO] default - item A010808 monthdata done
[2020-08-08T09:46:28.429] [INFO] default - item A010809 data_index done
[2020-08-08T09:46:40.236] [INFO] default - item A010809 monthdata done
[2020-08-08T09:46:41.634] [INFO] default - item A01080A data_index done
